"Top_Category","total","success_rate"
"Dance",263,0.711026615969582
"Theater",647,0.676970633693972
"Music",2724,0.629588839941263
"Comics",571,0.595446584938704
"Film & Video",3471,0.529242293287237
"Art",1361,0.527553269654666
"Games",1614,0.493804213135068
"Design",1436,0.45891364902507
"Photography",538,0.407063197026022
"Food",1106,0.40506329113924
"Journalism",72,0.402777777777778
"Publishing",2043,0.395986294664709
"Crafts",221,0.380090497737557
"Fashion",1023,0.358748778103617
"Technology",983,0.35707019328586
