"Location","latitude","longitude"
"Atlantic Beach",30.3344,-81.398
"Bryn Mawr",40.0212,-75.3151
"50023",41.677,-93.7783
"Huntington Park",33.9817,-118.225
"Alamance",36.0454,-79.4274
"Pacoima",34.2768,-118.41
"Lansdale",40.2415,-75.2838
"Bielsko-Biała",49.8224,19.0469
"Pikes Peak Park",38.8403,-104.8528
"Rio de Janeiro",-22.9068,-43.1729
"Hammonton",39.6368,-74.8069
"Parma",41.4048,-81.7229
"21217",39.3055,-76.6468
"London Borough of Hackney",51.5432,-0.0706
"Brentwood",37.9319,-121.696
"Nambour",-26.634,152.9582
"Winster",53.1435,-1.6488
"Cedar Hill",32.5885,-96.9594
"Fort Walton Beach",30.4058,-86.6188
"Addis Ababa",9.145,40.4897
"Luleå",65.5848,22.1548
"Buchanan",5.8804,-10.0467
"Old Bridge",40.392,-74.3395
"Siem Reap",13.3671,103.8448
"Williston",48.1469,-103.6179
"Somers Point",39.3168,-74.5954
"Stone Ridge",41.8099,-74.1407
"Fountain",38.6822,-104.7008
"48801",43.3786,-84.657
"Brandywine Heights",40.4687,-75.7022
"West Pittsburg",38.8402,-121.6899
"Garnerville",41.2052,-73.9898
"Salinas",36.6777,-121.6555
"Orland Park",41.6304,-87.8539
"Makawao",20.8509,-156.3319
"Poughkeepsie",41.7004,-73.9209
"Redwood",37.4852,-122.2364
"Northport",40.8991,-73.3425
"Hendersonville",35.3187,-82.4608
"South Atlanta",33.7167,-84.4133
"London Borough of Camden",51.5352,-0.1407
"Hemel Hempstead",51.7538,-0.469
"Trondheim",63.4305,10.3951
"Pisgah Forest",35.2705,-82.707
"South Gloucestershire",51.5465,-2.5684
"94520",38.0079,-122.0348
"Mason City",43.1536,-93.201
"Solon",41.39,-81.4419
"Ironwood",46.4534,-90.171
"Quantico",38.5273,-77.2891
"Attleboro",41.9445,-71.2856
"Lady Lake",28.9187,-81.9305
"Chagrin Falls",41.4299,-81.391
"New Boston",42.4776,-83.3734
"Boulder City",35.9786,-114.8325
"Vero Beach South",27.557,-80.3539
"Sterling Park",39.016,-77.4016
"Conroe",30.3119,-95.4561
"Slater",39.213,-92.8574
"Waynesville",35.4887,-82.9888
"Potomac",39.018,-77.2086
"Heerenveen",52.958,5.9194
"West Glacier",48.5093,-113.9966
"Yukon",35.5067,-97.7625
"10018",40.7552,-73.9934
"Glen Hope",40.811,-78.5594
"Seekonk",41.8084,-71.3328
"Damascus",33.7319,36.4197
"Bogalusa",30.7915,-89.8487
"Volcano",19.4056,-155.2814
"Saginaw",43.4195,-83.9508
"Lufkin",31.3382,-94.7289
"East Quogue",40.8398,-72.5816
"Rosalia",47.2474,-117.3636
"Montpelier",44.2601,-72.5754
"Seminole",27.8398,-82.7912
"Womelsdorf",40.3669,-76.1867
"Chadds Ford",39.8687,-75.5925
"Enid",36.4026,-97.875
"South Hero",44.6275,-73.3154
"Woodbridge",38.6582,-77.2497
"Truckee",39.3279,-120.1834
"Maple Ridge",49.2827,-122.6596
"Fort Myers",26.6406,-81.8723
"Bogota",4.711,-74.0721
"Torquay",50.4619,-3.5257
"Trenton",40.2171,-74.7429
"Vilonia",35.0786,-92.2034
"Caledonia",43.6187,-79.6465
"Peckham",51.4734,-0.0697
"Walnut Creek",37.906,-122.0652
"Diamond Bar",34.0286,-117.8103
"South Plainfield",40.5753,-74.4159
"Westford",42.556,-71.4351
"Baltimore District",39.2904,-76.6122
"Midway Park",34.697,-77.3858
"Tupelo",34.2576,-88.7034
"Owls Head",44.0679,-69.0971
"Hardin",40.3495,-90.6188
"Pawtucket",41.8787,-71.3826
"Neptune City",40.2115,-74.0345
"Moab",38.5733,-109.5498
"Bourbonnais",41.1615,-87.8784
"San Pedro",33.7361,-118.2922
"St. Michaels",38.7892,-76.2206
"Palestine",31.7621,-95.6308
"Rotterdam",51.9225,4.4792
"Shoreview",45.0725,-93.1305
"Willard",37.3059,-93.4172
"Fujino",35.5547,139.2187
"Az Zarqa'",32.0729,36.0875
"Frankenmuth",43.3283,-83.7395
"The Colony",33.0806,-96.8928
"Fredonia",42.4406,-79.3312
"Linden",40.6195,-74.2446
"Van Buren",35.4368,-94.3482
"Halfmoon Bay",49.4792,-123.8478
"Coloma",38.7927,-120.889
"Porto",41.1579,-8.6291
"Terre Haute",39.4688,-87.3911
"The Hague",52.0705,4.3007
"Valhalla",41.0731,-73.7761
"North Philadelphia",39.9782,-75.158
"Downey",33.94,-118.1326
"West Longview",32.5032,-94.7629
"Valdosta",30.8327,-83.2785
"Port Harcourt",4.8156,7.0498
"Strafford",37.2719,-93.1065
"Lambertville",40.3642,-74.9389
"Moyock",36.5318,-76.2344
"Ste.-Adèle",45.9628,-74.1329
"Lander",42.8337,-108.7302
"North Haven",41.3909,-72.8595
"Hazard",37.259,-83.1934
"St. Tammany",30.3914,-89.901
"Eden",36.4885,-79.7667
"Leh",34.1649,77.584
"Kapaa",22.0807,-159.3347
"Adirondack",43.9695,-74.004
"Sandy Springs",33.9304,-84.3733
"Mexico",19.4326,-99.1332
"La Quinta",33.6634,-116.31
"Viterbo",42.4184,-8.647
"Monterrey",25.438,-100.9737
"Comox",49.6813,-124.9265
"Conklin",56.2247,-111.2964
"Bangui",4.3616,18.554
"Yuma",32.6926,-114.6277
"Buffalo Grove",42.1663,-87.9634
"Edgewater",40.827,-73.9757
"Eindhoven",51.4416,5.4697
"Koriyama",37.3982,140.3875
"Castelnaudary",43.3179,1.9524
"Acton",51.5074,-0.1278
"Auckland Central",-36.8485,174.7633
"Avon",39.7635,-86.383
"Turlock",37.4947,-120.8466
"Ventnor City",39.3409,-74.4774
"Paulstown",52.6343,-7.0297
"Twickenham",51.4425,-0.3255
"Peterhead",57.5063,-1.7984
"North Oakville",43.4675,-79.6877
"Niverville",49.6163,-96.9588
"Lakeville",44.6497,-93.2427
"Jacksonville Beach",30.2898,-81.3966
"Whitefield",44.3671,-71.1838
"Rivervale",40.9967,-74.0186
"Heerlen",50.8839,5.9783
"Delft",51.999,4.3624
"Milford",41.2223,-73.0578
"Covina",34.09,-117.8903
"Al Mafraq",32.2809,36.2457
"Sherman",33.6357,-96.6089
"Institute",38.3422,-81.6329
"Ouagadougou",12.6392,-1.3786
"Coney Island",40.5732,-73.9784
"Wading River",40.9498,-72.8398
"Palm Beach",26.7056,-80.0364
"Flatwoods",38.5255,-82.6939
"Easton",40.6884,-75.2207
"Manaus",-3.119,-60.0217
"Kennett Square",39.8468,-75.7119
"Springwater",42.7208,-77.7778
"Bennington",42.8781,-73.1968
"Cap-Haïtien",19.7578,-72.2044
"Hudson",38.2468,-122.0397
